group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
par vecmul high nnz,,,,,1043000.0,ns,7
par vecmul high nnz,,,,,2073585.0,ns,14
par vecmul high nnz,,,,,3098879.0,ns,21
par vecmul high nnz,,,,,4131125.0,ns,28
par vecmul high nnz,,,,,5162614.0,ns,35
par vecmul high nnz,,,,,6196475.0,ns,42
par vecmul high nnz,,,,,7227077.0,ns,49
par vecmul high nnz,,,,,8258904.0,ns,56
par vecmul high nnz,,,,,9291029.0,ns,63
par vecmul high nnz,,,,,10325846.0,ns,70
par vecmul high nnz,,,,,11355460.0,ns,77
par vecmul high nnz,,,,,12394858.0,ns,84
par vecmul high nnz,,,,,13423337.0,ns,91
par vecmul high nnz,,,,,14455628.0,ns,98
par vecmul high nnz,,,,,15488040.0,ns,105
par vecmul high nnz,,,,,16623976.0,ns,112
par vecmul high nnz,,,,,17554319.0,ns,119
par vecmul high nnz,,,,,18586636.0,ns,126
par vecmul high nnz,,,,,19618855.0,ns,133
par vecmul high nnz,,,,,20654061.0,ns,140
par vecmul high nnz,,,,,21684400.0,ns,147
par vecmul high nnz,,,,,22746545.0,ns,154
par vecmul high nnz,,,,,23773593.0,ns,161
par vecmul high nnz,,,,,24783293.0,ns,168
par vecmul high nnz,,,,,25810698.0,ns,175
par vecmul high nnz,,,,,26849240.0,ns,182
par vecmul high nnz,,,,,27876114.0,ns,189
par vecmul high nnz,,,,,32118234.0,ns,196
par vecmul high nnz,,,,,29942850.0,ns,203
par vecmul high nnz,,,,,30975522.0,ns,210
par vecmul high nnz,,,,,32038993.0,ns,217
par vecmul high nnz,,,,,33043698.0,ns,224
par vecmul high nnz,,,,,34273821.0,ns,231
par vecmul high nnz,,,,,35115150.0,ns,238
par vecmul high nnz,,,,,36142528.0,ns,245
par vecmul high nnz,,,,,37203822.0,ns,252
par vecmul high nnz,,,,,38214809.0,ns,259
par vecmul high nnz,,,,,39240231.0,ns,266
par vecmul high nnz,,,,,40277639.0,ns,273
par vecmul high nnz,,,,,41311905.0,ns,280
par vecmul high nnz,,,,,42337887.0,ns,287
par vecmul high nnz,,,,,43419357.0,ns,294
par vecmul high nnz,,,,,44408356.0,ns,301
par vecmul high nnz,,,,,45440001.0,ns,308
par vecmul high nnz,,,,,46471739.0,ns,315
par vecmul high nnz,,,,,47505218.0,ns,322
par vecmul high nnz,,,,,48567571.0,ns,329
par vecmul high nnz,,,,,49601242.0,ns,336
par vecmul high nnz,,,,,50619324.0,ns,343
par vecmul high nnz,,,,,51672044.0,ns,350
par vecmul high nnz,,,,,52691874.0,ns,357
par vecmul high nnz,,,,,53900091.0,ns,364
par vecmul high nnz,,,,,54726622.0,ns,371
par vecmul high nnz,,,,,55788476.0,ns,378
par vecmul high nnz,,,,,56931188.0,ns,385
par vecmul high nnz,,,,,57826759.0,ns,392
par vecmul high nnz,,,,,58851936.0,ns,399
par vecmul high nnz,,,,,59886793.0,ns,406
par vecmul high nnz,,,,,60918193.0,ns,413
par vecmul high nnz,,,,,61983371.0,ns,420
par vecmul high nnz,,,,,62993880.0,ns,427
par vecmul high nnz,,,,,64018834.0,ns,434
par vecmul high nnz,,,,,65044941.0,ns,441
par vecmul high nnz,,,,,66090126.0,ns,448
par vecmul high nnz,,,,,67136113.0,ns,455
par vecmul high nnz,,,,,68194763.0,ns,462
par vecmul high nnz,,,,,69181673.0,ns,469
par vecmul high nnz,,,,,70213705.0,ns,476
par vecmul high nnz,,,,,71279571.0,ns,483
par vecmul high nnz,,,,,72282582.0,ns,490
par vecmul high nnz,,,,,73392389.0,ns,497
par vecmul high nnz,,,,,74352134.0,ns,504
par vecmul high nnz,,,,,75389669.0,ns,511
par vecmul high nnz,,,,,76438138.0,ns,518
par vecmul high nnz,,,,,77460237.0,ns,525
par vecmul high nnz,,,,,78494524.0,ns,532
par vecmul high nnz,,,,,79512095.0,ns,539
par vecmul high nnz,,,,,80589090.0,ns,546
par vecmul high nnz,,,,,81590096.0,ns,553
par vecmul high nnz,,,,,82635311.0,ns,560
par vecmul high nnz,,,,,83708555.0,ns,567
par vecmul high nnz,,,,,84861019.0,ns,574
par vecmul high nnz,,,,,85820457.0,ns,581
par vecmul high nnz,,,,,86762159.0,ns,588
par vecmul high nnz,,,,,87810653.0,ns,595
par vecmul high nnz,,,,,88807740.0,ns,602
par vecmul high nnz,,,,,89871400.0,ns,609
par vecmul high nnz,,,,,90877319.0,ns,616
par vecmul high nnz,,,,,91931449.0,ns,623
par vecmul high nnz,,,,,92946965.0,ns,630
par vecmul high nnz,,,,,93992275.0,ns,637
par vecmul high nnz,,,,,95015601.0,ns,644
par vecmul high nnz,,,,,96060010.0,ns,651
par vecmul high nnz,,,,,97147302.0,ns,658
par vecmul high nnz,,,,,98100399.0,ns,665
par vecmul high nnz,,,,,99149226.0,ns,672
par vecmul high nnz,,,,,100165445.0,ns,679
par vecmul high nnz,,,,,101207847.0,ns,686
par vecmul high nnz,,,,,102252128.0,ns,693
par vecmul high nnz,,,,,103288066.0,ns,700
