group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
par vecmul low nnz,,,,,1040041.0,ns,7
par vecmul low nnz,,,,,2076091.0,ns,14
par vecmul low nnz,,,,,3099153.0,ns,21
par vecmul low nnz,,,,,4132653.0,ns,28
par vecmul low nnz,,,,,5163959.0,ns,35
par vecmul low nnz,,,,,6195066.0,ns,42
par vecmul low nnz,,,,,7258584.0,ns,49
par vecmul low nnz,,,,,8261682.0,ns,56
par vecmul low nnz,,,,,9295694.0,ns,63
par vecmul low nnz,,,,,10326321.0,ns,70
par vecmul low nnz,,,,,11360884.0,ns,77
par vecmul low nnz,,,,,12398718.0,ns,84
par vecmul low nnz,,,,,13429019.0,ns,91
par vecmul low nnz,,,,,14457864.0,ns,98
par vecmul low nnz,,,,,15491917.0,ns,105
par vecmul low nnz,,,,,16552766.0,ns,112
par vecmul low nnz,,,,,17555321.0,ns,119
par vecmul low nnz,,,,,18586723.0,ns,126
par vecmul low nnz,,,,,19624995.0,ns,133
par vecmul low nnz,,,,,20658426.0,ns,140
par vecmul low nnz,,,,,21688576.0,ns,147
par vecmul low nnz,,,,,22717257.0,ns,154
par vecmul low nnz,,,,,23752214.0,ns,161
par vecmul low nnz,,,,,24811408.0,ns,168
par vecmul low nnz,,,,,25840788.0,ns,175
par vecmul low nnz,,,,,26851538.0,ns,182
par vecmul low nnz,,,,,27882993.0,ns,189
par vecmul low nnz,,,,,28920381.0,ns,196
par vecmul low nnz,,,,,29969755.0,ns,203
par vecmul low nnz,,,,,30984799.0,ns,210
par vecmul low nnz,,,,,32011865.0,ns,217
par vecmul low nnz,,,,,33084432.0,ns,224
par vecmul low nnz,,,,,34206768.0,ns,231
par vecmul low nnz,,,,,35114355.0,ns,238
par vecmul low nnz,,,,,36197606.0,ns,245
par vecmul low nnz,,,,,37176402.0,ns,252
par vecmul low nnz,,,,,38296000.0,ns,259
par vecmul low nnz,,,,,39246895.0,ns,266
par vecmul low nnz,,,,,40285141.0,ns,273
par vecmul low nnz,,,,,41322165.0,ns,280
par vecmul low nnz,,,,,42344369.0,ns,287
par vecmul low nnz,,,,,43461095.0,ns,294
par vecmul low nnz,,,,,44440457.0,ns,301
par vecmul low nnz,,,,,45440915.0,ns,308
par vecmul low nnz,,,,,46475231.0,ns,315
par vecmul low nnz,,,,,47514561.0,ns,322
par vecmul low nnz,,,,,48539321.0,ns,329
par vecmul low nnz,,,,,49570781.0,ns,336
par vecmul low nnz,,,,,50638070.0,ns,343
par vecmul low nnz,,,,,51638740.0,ns,350
par vecmul low nnz,,,,,52677197.0,ns,357
par vecmul low nnz,,,,,53700049.0,ns,364
par vecmul low nnz,,,,,54745216.0,ns,371
par vecmul low nnz,,,,,55768931.0,ns,378
par vecmul low nnz,,,,,56825582.0,ns,385
par vecmul low nnz,,,,,57875278.0,ns,392
par vecmul low nnz,,,,,58868382.0,ns,399
par vecmul low nnz,,,,,59909476.0,ns,406
par vecmul low nnz,,,,,60948604.0,ns,413
par vecmul low nnz,,,,,61977584.0,ns,420
par vecmul low nnz,,,,,63172209.0,ns,427
par vecmul low nnz,,,,,64043683.0,ns,434
par vecmul low nnz,,,,,65078104.0,ns,441
par vecmul low nnz,,,,,66114021.0,ns,448
par vecmul low nnz,,,,,67169826.0,ns,455
par vecmul low nnz,,,,,68184398.0,ns,462
par vecmul low nnz,,,,,69219297.0,ns,469
par vecmul low nnz,,,,,70242985.0,ns,476
par vecmul low nnz,,,,,71270269.0,ns,483
par vecmul low nnz,,,,,72360004.0,ns,490
par vecmul low nnz,,,,,73458826.0,ns,497
par vecmul low nnz,,,,,74355687.0,ns,504
par vecmul low nnz,,,,,78643712.0,ns,511
par vecmul low nnz,,,,,76483285.0,ns,518
par vecmul low nnz,,,,,77540224.0,ns,525
par vecmul low nnz,,,,,78603286.0,ns,532
par vecmul low nnz,,,,,79523735.0,ns,539
par vecmul low nnz,,,,,80633967.0,ns,546
par vecmul low nnz,,,,,81588513.0,ns,553
par vecmul low nnz,,,,,82630075.0,ns,560
par vecmul low nnz,,,,,83648704.0,ns,567
par vecmul low nnz,,,,,84696261.0,ns,574
par vecmul low nnz,,,,,85706454.0,ns,581
par vecmul low nnz,,,,,86773962.0,ns,588
par vecmul low nnz,,,,,87867522.0,ns,595
par vecmul low nnz,,,,,88848059.0,ns,602
par vecmul low nnz,,,,,89917678.0,ns,609
par vecmul low nnz,,,,,90865651.0,ns,616
par vecmul low nnz,,,,,91927529.0,ns,623
par vecmul low nnz,,,,,92945276.0,ns,630
par vecmul low nnz,,,,,93992730.0,ns,637
par vecmul low nnz,,,,,95034405.0,ns,644
par vecmul low nnz,,,,,96073531.0,ns,651
par vecmul low nnz,,,,,97224464.0,ns,658
par vecmul low nnz,,,,,98214826.0,ns,665
par vecmul low nnz,,,,,99200639.0,ns,672
par vecmul low nnz,,,,,100260881.0,ns,679
par vecmul low nnz,,,,,101206956.0,ns,686
par vecmul low nnz,,,,,102264999.0,ns,693
par vecmul low nnz,,,,,103279649.0,ns,700
