group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr vecmul,0.015,,,1005446.0,ns,64
vecmul,csr vecmul,0.015,,,2000431.0,ns,128
vecmul,csr vecmul,0.015,,,3012170.0,ns,192
vecmul,csr vecmul,0.015,,,4005453.0,ns,256
vecmul,csr vecmul,0.015,,,5005669.0,ns,320
vecmul,csr vecmul,0.015,,,6006428.0,ns,384
vecmul,csr vecmul,0.015,,,7004713.0,ns,448
vecmul,csr vecmul,0.015,,,8006805.0,ns,512
vecmul,csr vecmul,0.015,,,9012731.0,ns,576
vecmul,csr vecmul,0.015,,,10010773.0,ns,640
vecmul,csr vecmul,0.015,,,11019356.0,ns,704
vecmul,csr vecmul,0.015,,,12025520.0,ns,768
vecmul,csr vecmul,0.015,,,13026500.0,ns,832
vecmul,csr vecmul,0.015,,,14025651.0,ns,896
vecmul,csr vecmul,0.015,,,15028958.0,ns,960
vecmul,csr vecmul,0.015,,,16032703.0,ns,1024
vecmul,csr vecmul,0.015,,,17034628.0,ns,1088
vecmul,csr vecmul,0.015,,,18036963.0,ns,1152
vecmul,csr vecmul,0.015,,,19058572.0,ns,1216
vecmul,csr vecmul,0.015,,,20038065.0,ns,1280
vecmul,csr vecmul,0.015,,,21044864.0,ns,1344
vecmul,csr vecmul,0.015,,,22044915.0,ns,1408
vecmul,csr vecmul,0.015,,,23051722.0,ns,1472
vecmul,csr vecmul,0.015,,,24056804.0,ns,1536
vecmul,csr vecmul,0.015,,,25037495.0,ns,1600
vecmul,csr vecmul,0.015,,,26055737.0,ns,1664
vecmul,csr vecmul,0.015,,,27053840.0,ns,1728
vecmul,csr vecmul,0.015,,,28060398.0,ns,1792
vecmul,csr vecmul,0.015,,,29073315.0,ns,1856
vecmul,csr vecmul,0.015,,,30050103.0,ns,1920
vecmul,csr vecmul,0.015,,,31078272.0,ns,1984
vecmul,csr vecmul,0.015,,,32051871.0,ns,2048
vecmul,csr vecmul,0.015,,,33057594.0,ns,2112
vecmul,csr vecmul,0.015,,,34182337.0,ns,2176
vecmul,csr vecmul,0.015,,,35051889.0,ns,2240
vecmul,csr vecmul,0.015,,,36018636.0,ns,2304
vecmul,csr vecmul,0.015,,,37036683.0,ns,2368
vecmul,csr vecmul,0.015,,,38046321.0,ns,2432
vecmul,csr vecmul,0.015,,,39069349.0,ns,2496
vecmul,csr vecmul,0.015,,,40083168.0,ns,2560
vecmul,csr vecmul,0.015,,,41040640.0,ns,2624
vecmul,csr vecmul,0.015,,,42064453.0,ns,2688
vecmul,csr vecmul,0.015,,,43050189.0,ns,2752
vecmul,csr vecmul,0.015,,,44083175.0,ns,2816
vecmul,csr vecmul,0.015,,,45058920.0,ns,2880
vecmul,csr vecmul,0.015,,,46115656.0,ns,2944
vecmul,csr vecmul,0.015,,,47105789.0,ns,3008
vecmul,csr vecmul,0.015,,,48095612.0,ns,3072
vecmul,csr vecmul,0.015,,,49097042.0,ns,3136
vecmul,csr vecmul,0.015,,,50078602.0,ns,3200
vecmul,csr vecmul,0.015,,,51087045.0,ns,3264
vecmul,csr vecmul,0.015,,,52085349.0,ns,3328
vecmul,csr vecmul,0.015,,,53079231.0,ns,3392
vecmul,csr vecmul,0.015,,,54127877.0,ns,3456
vecmul,csr vecmul,0.015,,,55104665.0,ns,3520
vecmul,csr vecmul,0.015,,,56139540.0,ns,3584
vecmul,csr vecmul,0.015,,,57121655.0,ns,3648
vecmul,csr vecmul,0.015,,,58133941.0,ns,3712
vecmul,csr vecmul,0.015,,,59139445.0,ns,3776
vecmul,csr vecmul,0.015,,,60084093.0,ns,3840
vecmul,csr vecmul,0.015,,,61102903.0,ns,3904
vecmul,csr vecmul,0.015,,,62168078.0,ns,3968
vecmul,csr vecmul,0.015,,,63080215.0,ns,4032
vecmul,csr vecmul,0.015,,,64008459.0,ns,4096
vecmul,csr vecmul,0.015,,,65100686.0,ns,4160
vecmul,csr vecmul,0.015,,,66162005.0,ns,4224
vecmul,csr vecmul,0.015,,,67141933.0,ns,4288
vecmul,csr vecmul,0.015,,,68101246.0,ns,4352
vecmul,csr vecmul,0.015,,,69086532.0,ns,4416
vecmul,csr vecmul,0.015,,,70010541.0,ns,4480
vecmul,csr vecmul,0.015,,,71064770.0,ns,4544
vecmul,csr vecmul,0.015,,,72211598.0,ns,4608
vecmul,csr vecmul,0.015,,,73128644.0,ns,4672
vecmul,csr vecmul,0.015,,,77329834.0,ns,4736
vecmul,csr vecmul,0.015,,,75043148.0,ns,4800
vecmul,csr vecmul,0.015,,,76127043.0,ns,4864
vecmul,csr vecmul,0.015,,,77147347.0,ns,4928
vecmul,csr vecmul,0.015,,,78137631.0,ns,4992
vecmul,csr vecmul,0.015,,,79098034.0,ns,5056
vecmul,csr vecmul,0.015,,,80117523.0,ns,5120
vecmul,csr vecmul,0.015,,,81146190.0,ns,5184
vecmul,csr vecmul,0.015,,,82160550.0,ns,5248
vecmul,csr vecmul,0.015,,,83161342.0,ns,5312
vecmul,csr vecmul,0.015,,,84087134.0,ns,5376
vecmul,csr vecmul,0.015,,,85027317.0,ns,5440
vecmul,csr vecmul,0.015,,,86100269.0,ns,5504
vecmul,csr vecmul,0.015,,,87293539.0,ns,5568
vecmul,csr vecmul,0.015,,,88191892.0,ns,5632
vecmul,csr vecmul,0.015,,,89318591.0,ns,5696
vecmul,csr vecmul,0.015,,,90159187.0,ns,5760
vecmul,csr vecmul,0.015,,,91291453.0,ns,5824
vecmul,csr vecmul,0.015,,,92198482.0,ns,5888
vecmul,csr vecmul,0.015,,,93204697.0,ns,5952
