group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr vecmul,0.3,,,1136721.0,ns,7
vecmul,csr vecmul,0.3,,,2261137.0,ns,14
vecmul,csr vecmul,0.3,,,3394271.0,ns,21
vecmul,csr vecmul,0.3,,,4525439.0,ns,28
vecmul,csr vecmul,0.3,,,5661729.0,ns,35
vecmul,csr vecmul,0.3,,,6809532.0,ns,42
vecmul,csr vecmul,0.3,,,7918137.0,ns,49
vecmul,csr vecmul,0.3,,,9061041.0,ns,56
vecmul,csr vecmul,0.3,,,10179589.0,ns,63
vecmul,csr vecmul,0.3,,,11313468.0,ns,70
vecmul,csr vecmul,0.3,,,12443945.0,ns,77
vecmul,csr vecmul,0.3,,,13575819.0,ns,84
vecmul,csr vecmul,0.3,,,14708194.0,ns,91
vecmul,csr vecmul,0.3,,,15838272.0,ns,98
vecmul,csr vecmul,0.3,,,16967868.0,ns,105
vecmul,csr vecmul,0.3,,,18104239.0,ns,112
vecmul,csr vecmul,0.3,,,19260717.0,ns,119
vecmul,csr vecmul,0.3,,,20364465.0,ns,126
vecmul,csr vecmul,0.3,,,21492225.0,ns,133
vecmul,csr vecmul,0.3,,,22625757.0,ns,140
vecmul,csr vecmul,0.3,,,23756022.0,ns,147
vecmul,csr vecmul,0.3,,,24890340.0,ns,154
vecmul,csr vecmul,0.3,,,26019668.0,ns,161
vecmul,csr vecmul,0.3,,,27157645.0,ns,168
vecmul,csr vecmul,0.3,,,28282112.0,ns,175
vecmul,csr vecmul,0.3,,,29440967.0,ns,182
vecmul,csr vecmul,0.3,,,30544645.0,ns,189
vecmul,csr vecmul,0.3,,,31748861.0,ns,196
vecmul,csr vecmul,0.3,,,32836772.0,ns,203
vecmul,csr vecmul,0.3,,,33935675.0,ns,210
vecmul,csr vecmul,0.3,,,35075147.0,ns,217
vecmul,csr vecmul,0.3,,,36200993.0,ns,224
vecmul,csr vecmul,0.3,,,37329047.0,ns,231
vecmul,csr vecmul,0.3,,,38616300.0,ns,238
vecmul,csr vecmul,0.3,,,39594040.0,ns,245
vecmul,csr vecmul,0.3,,,40723270.0,ns,252
vecmul,csr vecmul,0.3,,,41855607.0,ns,259
vecmul,csr vecmul,0.3,,,43016287.0,ns,266
vecmul,csr vecmul,0.3,,,44119089.0,ns,273
vecmul,csr vecmul,0.3,,,45254173.0,ns,280
vecmul,csr vecmul,0.3,,,46432154.0,ns,287
vecmul,csr vecmul,0.3,,,47514506.0,ns,294
vecmul,csr vecmul,0.3,,,48673666.0,ns,301
vecmul,csr vecmul,0.3,,,49806782.0,ns,308
vecmul,csr vecmul,0.3,,,50906081.0,ns,315
vecmul,csr vecmul,0.3,,,52036861.0,ns,322
vecmul,csr vecmul,0.3,,,53290233.0,ns,329
vecmul,csr vecmul,0.3,,,54308211.0,ns,336
vecmul,csr vecmul,0.3,,,55456617.0,ns,343
vecmul,csr vecmul,0.3,,,56623749.0,ns,350
vecmul,csr vecmul,0.3,,,57769496.0,ns,357
vecmul,csr vecmul,0.3,,,58825377.0,ns,364
vecmul,csr vecmul,0.3,,,59958025.0,ns,371
vecmul,csr vecmul,0.3,,,61097804.0,ns,378
vecmul,csr vecmul,0.3,,,62218021.0,ns,385
vecmul,csr vecmul,0.3,,,63468218.0,ns,392
vecmul,csr vecmul,0.3,,,64493367.0,ns,399
vecmul,csr vecmul,0.3,,,65623033.0,ns,406
vecmul,csr vecmul,0.3,,,66745830.0,ns,413
vecmul,csr vecmul,0.3,,,67880122.0,ns,420
vecmul,csr vecmul,0.3,,,69069759.0,ns,427
vecmul,csr vecmul,0.3,,,70145881.0,ns,434
vecmul,csr vecmul,0.3,,,71296845.0,ns,441
