group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr,0.03,,,997905.0,ns,40
vecmul,csr,0.03,,,1996723.0,ns,80
vecmul,csr,0.03,,,2986094.0,ns,120
vecmul,csr,0.03,,,3980147.0,ns,160
vecmul,csr,0.03,,,4974618.0,ns,200
vecmul,csr,0.03,,,5970822.0,ns,240
vecmul,csr,0.03,,,6964971.0,ns,280
vecmul,csr,0.03,,,7959627.0,ns,320
vecmul,csr,0.03,,,8954083.0,ns,360
vecmul,csr,0.03,,,9949185.0,ns,400
vecmul,csr,0.03,,,10947919.0,ns,440
vecmul,csr,0.03,,,11940079.0,ns,480
vecmul,csr,0.03,,,12938334.0,ns,520
vecmul,csr,0.03,,,13930240.0,ns,560
vecmul,csr,0.03,,,14921859.0,ns,600
vecmul,csr,0.03,,,15916388.0,ns,640
vecmul,csr,0.03,,,16908940.0,ns,680
vecmul,csr,0.03,,,17928645.0,ns,720
vecmul,csr,0.03,,,18968192.0,ns,760
vecmul,csr,0.03,,,19894820.0,ns,800
vecmul,csr,0.03,,,21065191.0,ns,840
vecmul,csr,0.03,,,21887971.0,ns,880
vecmul,csr,0.03,,,22884783.0,ns,920
vecmul,csr,0.03,,,23882038.0,ns,960
vecmul,csr,0.03,,,24877132.0,ns,1000
vecmul,csr,0.03,,,26213620.0,ns,1040
vecmul,csr,0.03,,,26868007.0,ns,1080
vecmul,csr,0.03,,,27864876.0,ns,1120
vecmul,csr,0.03,,,28859999.0,ns,1160
vecmul,csr,0.03,,,29854885.0,ns,1200
vecmul,csr,0.03,,,30843735.0,ns,1240
vecmul,csr,0.03,,,31878171.0,ns,1280
vecmul,csr,0.03,,,32843889.0,ns,1320
vecmul,csr,0.03,,,33843461.0,ns,1360
vecmul,csr,0.03,,,34841567.0,ns,1400
vecmul,csr,0.03,,,35830469.0,ns,1440
vecmul,csr,0.03,,,36823653.0,ns,1480
vecmul,csr,0.03,,,37822762.0,ns,1520
vecmul,csr,0.03,,,38826101.0,ns,1560
vecmul,csr,0.03,,,39817216.0,ns,1600
vecmul,csr,0.03,,,40838877.0,ns,1640
vecmul,csr,0.03,,,41814945.0,ns,1680
vecmul,csr,0.03,,,42796955.0,ns,1720
vecmul,csr,0.03,,,43797616.0,ns,1760
vecmul,csr,0.03,,,44796518.0,ns,1800
vecmul,csr,0.03,,,45783490.0,ns,1840
vecmul,csr,0.03,,,46800399.0,ns,1880
vecmul,csr,0.03,,,47816407.0,ns,1920
vecmul,csr,0.03,,,48770183.0,ns,1960
vecmul,csr,0.03,,,49838704.0,ns,2000
vecmul,csr,0.03,,,50734955.0,ns,2040
vecmul,csr,0.03,,,51718263.0,ns,2080
vecmul,csr,0.03,,,52718449.0,ns,2120
vecmul,csr,0.03,,,53729076.0,ns,2160
vecmul,csr,0.03,,,54700042.0,ns,2200
vecmul,csr,0.03,,,55693830.0,ns,2240
vecmul,csr,0.03,,,56718940.0,ns,2280
vecmul,csr,0.03,,,57689036.0,ns,2320
vecmul,csr,0.03,,,58687918.0,ns,2360
vecmul,csr,0.03,,,59709892.0,ns,2400
vecmul,csr,0.03,,,60673160.0,ns,2440
vecmul,csr,0.03,,,61668958.0,ns,2480
vecmul,csr,0.03,,,62694782.0,ns,2520
vecmul,csr,0.03,,,63713451.0,ns,2560
vecmul,csr,0.03,,,64673751.0,ns,2600
vecmul,csr,0.03,,,65706872.0,ns,2640
vecmul,csr,0.03,,,66842318.0,ns,2680
vecmul,csr,0.03,,,67668165.0,ns,2720
vecmul,csr,0.03,,,68649609.0,ns,2760
vecmul,csr,0.03,,,69661851.0,ns,2800
vecmul,csr,0.03,,,70644751.0,ns,2840
vecmul,csr,0.03,,,71631767.0,ns,2880
vecmul,csr,0.03,,,72644335.0,ns,2920
vecmul,csr,0.03,,,73649514.0,ns,2960
vecmul,csr,0.03,,,74635692.0,ns,3000
vecmul,csr,0.03,,,75637831.0,ns,3040
vecmul,csr,0.03,,,76612603.0,ns,3080
vecmul,csr,0.03,,,77628453.0,ns,3120
vecmul,csr,0.03,,,78580705.0,ns,3160
vecmul,csr,0.03,,,79644882.0,ns,3200
vecmul,csr,0.03,,,80733150.0,ns,3240
vecmul,csr,0.03,,,81623539.0,ns,3280
vecmul,csr,0.03,,,82609731.0,ns,3320
vecmul,csr,0.03,,,83611286.0,ns,3360
vecmul,csr,0.03,,,84597949.0,ns,3400
vecmul,csr,0.03,,,85605267.0,ns,3440
vecmul,csr,0.03,,,86565177.0,ns,3480
vecmul,csr,0.03,,,87539898.0,ns,3520
vecmul,csr,0.03,,,88548231.0,ns,3560
vecmul,csr,0.03,,,89571941.0,ns,3600
vecmul,csr,0.03,,,90510831.0,ns,3640
vecmul,csr,0.03,,,94970489.0,ns,3680
vecmul,csr,0.03,,,92591993.0,ns,3720
vecmul,csr,0.03,,,93510499.0,ns,3760
vecmul,csr,0.03,,,94523716.0,ns,3800
vecmul,csr,0.03,,,95506230.0,ns,3840
vecmul,csr,0.03,,,96564111.0,ns,3880
vecmul,csr,0.03,,,97515002.0,ns,3920
vecmul,csr,0.03,,,98496872.0,ns,3960
vecmul,csr,0.03,,,99509444.0,ns,4000
