group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr,0.08,,,995243.0,ns,19
vecmul,csr,0.08,,,1976867.0,ns,38
vecmul,csr,0.08,,,2967518.0,ns,57
vecmul,csr,0.08,,,3955417.0,ns,76
vecmul,csr,0.08,,,4943332.0,ns,95
vecmul,csr,0.08,,,5934751.0,ns,114
vecmul,csr,0.08,,,6921246.0,ns,133
vecmul,csr,0.08,,,7910087.0,ns,152
vecmul,csr,0.08,,,8990232.0,ns,171
vecmul,csr,0.08,,,9943464.0,ns,190
vecmul,csr,0.08,,,10876729.0,ns,209
vecmul,csr,0.08,,,11865238.0,ns,228
vecmul,csr,0.08,,,12854125.0,ns,247
vecmul,csr,0.08,,,13844879.0,ns,266
vecmul,csr,0.08,,,14864933.0,ns,285
vecmul,csr,0.08,,,15820663.0,ns,304
vecmul,csr,0.08,,,16810604.0,ns,323
vecmul,csr,0.08,,,17797894.0,ns,342
vecmul,csr,0.08,,,18785124.0,ns,361
vecmul,csr,0.08,,,19777084.0,ns,380
vecmul,csr,0.08,,,20769255.0,ns,399
vecmul,csr,0.08,,,21753775.0,ns,418
vecmul,csr,0.08,,,22745273.0,ns,437
vecmul,csr,0.08,,,23739495.0,ns,456
vecmul,csr,0.08,,,24728529.0,ns,475
vecmul,csr,0.08,,,25708983.0,ns,494
vecmul,csr,0.08,,,26701933.0,ns,513
vecmul,csr,0.08,,,27690334.0,ns,532
vecmul,csr,0.08,,,28701046.0,ns,551
vecmul,csr,0.08,,,29661188.0,ns,570
vecmul,csr,0.08,,,30657048.0,ns,589
vecmul,csr,0.08,,,31641713.0,ns,608
vecmul,csr,0.08,,,32708914.0,ns,627
vecmul,csr,0.08,,,33624146.0,ns,646
vecmul,csr,0.08,,,34613518.0,ns,665
vecmul,csr,0.08,,,35599146.0,ns,684
vecmul,csr,0.08,,,36613087.0,ns,703
vecmul,csr,0.08,,,40756608.0,ns,722
vecmul,csr,0.08,,,38610267.0,ns,741
vecmul,csr,0.08,,,39554664.0,ns,760
vecmul,csr,0.08,,,40574756.0,ns,779
vecmul,csr,0.08,,,41533122.0,ns,798
vecmul,csr,0.08,,,42522420.0,ns,817
vecmul,csr,0.08,,,43509300.0,ns,836
vecmul,csr,0.08,,,44502414.0,ns,855
vecmul,csr,0.08,,,45510201.0,ns,874
vecmul,csr,0.08,,,46473151.0,ns,893
vecmul,csr,0.08,,,47466658.0,ns,912
vecmul,csr,0.08,,,48454423.0,ns,931
vecmul,csr,0.08,,,49443825.0,ns,950
vecmul,csr,0.08,,,50427617.0,ns,969
vecmul,csr,0.08,,,51416859.0,ns,988
vecmul,csr,0.08,,,52432552.0,ns,1007
vecmul,csr,0.08,,,53396787.0,ns,1026
vecmul,csr,0.08,,,54463095.0,ns,1045
vecmul,csr,0.08,,,55375486.0,ns,1064
vecmul,csr,0.08,,,56366843.0,ns,1083
vecmul,csr,0.08,,,57370120.0,ns,1102
vecmul,csr,0.08,,,58370205.0,ns,1121
vecmul,csr,0.08,,,59403499.0,ns,1140
vecmul,csr,0.08,,,70992978.0,ns,1159
vecmul,csr,0.08,,,68891923.0,ns,1178
vecmul,csr,0.08,,,63275738.0,ns,1197
vecmul,csr,0.08,,,64449065.0,ns,1216
vecmul,csr,0.08,,,65315496.0,ns,1235
vecmul,csr,0.08,,,66325393.0,ns,1254
vecmul,csr,0.08,,,67424492.0,ns,1273
vecmul,csr,0.08,,,69326524.0,ns,1292
vecmul,csr,0.08,,,69206202.0,ns,1311
vecmul,csr,0.08,,,70241203.0,ns,1330
vecmul,csr,0.08,,,71314553.0,ns,1349
vecmul,csr,0.08,,,72289557.0,ns,1368
vecmul,csr,0.08,,,72235864.0,ns,1387
vecmul,csr,0.08,,,74192692.0,ns,1406
vecmul,csr,0.08,,,75189547.0,ns,1425
vecmul,csr,0.08,,,75161049.0,ns,1444
vecmul,csr,0.08,,,85970803.0,ns,1463
vecmul,csr,0.08,,,79931455.0,ns,1482
vecmul,csr,0.08,,,78149841.0,ns,1501
vecmul,csr,0.08,,,79102350.0,ns,1520
vecmul,csr,0.08,,,80129846.0,ns,1539
vecmul,csr,0.08,,,81079683.0,ns,1558
vecmul,csr,0.08,,,82071534.0,ns,1577
vecmul,csr,0.08,,,83152301.0,ns,1596
vecmul,csr,0.08,,,84069985.0,ns,1615
vecmul,csr,0.08,,,85067913.0,ns,1634
vecmul,csr,0.08,,,86037662.0,ns,1653
vecmul,csr,0.08,,,87018934.0,ns,1672
vecmul,csr,0.08,,,88030284.0,ns,1691
vecmul,csr,0.08,,,89142360.0,ns,1710
vecmul,csr,0.08,,,89976830.0,ns,1729
vecmul,csr,0.08,,,90996453.0,ns,1748
vecmul,csr,0.08,,,91981249.0,ns,1767
vecmul,csr,0.08,,,92950835.0,ns,1786
vecmul,csr,0.08,,,94010753.0,ns,1805
vecmul,csr,0.08,,,94957116.0,ns,1824
vecmul,csr,0.08,,,95936318.0,ns,1843
vecmul,csr,0.08,,,96944873.0,ns,1862
vecmul,csr,0.08,,,97924306.0,ns,1881
vecmul,csr,0.08,,,98885348.0,ns,1900
