group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst vecmul,0.2,,,1684523.0,ns,2
vecmul,fst vecmul,0.2,,,3361336.0,ns,4
vecmul,fst vecmul,0.2,,,5039232.0,ns,6
vecmul,fst vecmul,0.2,,,6720086.0,ns,8
vecmul,fst vecmul,0.2,,,8399865.0,ns,10
vecmul,fst vecmul,0.2,,,10085274.0,ns,12
vecmul,fst vecmul,0.2,,,11760907.0,ns,14
vecmul,fst vecmul,0.2,,,13438278.0,ns,16
vecmul,fst vecmul,0.2,,,15121485.0,ns,18
vecmul,fst vecmul,0.2,,,16800126.0,ns,20
vecmul,fst vecmul,0.2,,,18494334.0,ns,22
vecmul,fst vecmul,0.2,,,20169772.0,ns,24
vecmul,fst vecmul,0.2,,,21838115.0,ns,26
vecmul,fst vecmul,0.2,,,23523172.0,ns,28
vecmul,fst vecmul,0.2,,,25203459.0,ns,30
vecmul,fst vecmul,0.2,,,26879103.0,ns,32
vecmul,fst vecmul,0.2,,,28612429.0,ns,34
vecmul,fst vecmul,0.2,,,30247756.0,ns,36
vecmul,fst vecmul,0.2,,,31924179.0,ns,38
vecmul,fst vecmul,0.2,,,33676991.0,ns,40
vecmul,fst vecmul,0.2,,,35279047.0,ns,42
vecmul,fst vecmul,0.2,,,36983726.0,ns,44
vecmul,fst vecmul,0.2,,,38644808.0,ns,46
vecmul,fst vecmul,0.2,,,40325951.0,ns,48
vecmul,fst vecmul,0.2,,,42006099.0,ns,50
vecmul,fst vecmul,0.2,,,43706825.0,ns,52
vecmul,fst vecmul,0.2,,,45392403.0,ns,54
vecmul,fst vecmul,0.2,,,47048131.0,ns,56
vecmul,fst vecmul,0.2,,,48736213.0,ns,58
vecmul,fst vecmul,0.2,,,53594275.0,ns,60
vecmul,fst vecmul,0.2,,,52084052.0,ns,62
vecmul,fst vecmul,0.2,,,53820507.0,ns,64
vecmul,fst vecmul,0.2,,,55469060.0,ns,66
vecmul,fst vecmul,0.2,,,57138947.0,ns,68
vecmul,fst vecmul,0.2,,,58810211.0,ns,70
vecmul,fst vecmul,0.2,,,60482035.0,ns,72
vecmul,fst vecmul,0.2,,,62171618.0,ns,74
vecmul,fst vecmul,0.2,,,63871892.0,ns,76
vecmul,fst vecmul,0.2,,,65550814.0,ns,78
vecmul,fst vecmul,0.2,,,67274098.0,ns,80
vecmul,fst vecmul,0.2,,,68884899.0,ns,82
vecmul,fst vecmul,0.2,,,70598562.0,ns,84
vecmul,fst vecmul,0.2,,,72244432.0,ns,86
vecmul,fst vecmul,0.2,,,73918346.0,ns,88
vecmul,fst vecmul,0.2,,,75745163.0,ns,90
vecmul,fst vecmul,0.2,,,77282962.0,ns,92
vecmul,fst vecmul,0.2,,,78993456.0,ns,94
vecmul,fst vecmul,0.2,,,80653370.0,ns,96
vecmul,fst vecmul,0.2,,,82323538.0,ns,98
vecmul,fst vecmul,0.2,,,84004446.0,ns,100
vecmul,fst vecmul,0.2,,,85707720.0,ns,102
vecmul,fst vecmul,0.2,,,87388400.0,ns,104
vecmul,fst vecmul,0.2,,,89123751.0,ns,106
vecmul,fst vecmul,0.2,,,90772762.0,ns,108
vecmul,fst vecmul,0.2,,,92406487.0,ns,110
vecmul,fst vecmul,0.2,,,94085924.0,ns,112
vecmul,fst vecmul,0.2,,,95839139.0,ns,114
vecmul,fst vecmul,0.2,,,97483891.0,ns,116
vecmul,fst vecmul,0.2,,,99131856.0,ns,118
vecmul,fst vecmul,0.2,,,100814906.0,ns,120
vecmul,fst vecmul,0.2,,,102514852.0,ns,122
vecmul,fst vecmul,0.2,,,104185721.0,ns,124
vecmul,fst vecmul,0.2,,,105923752.0,ns,126
vecmul,fst vecmul,0.2,,,107558003.0,ns,128
vecmul,fst vecmul,0.2,,,109218266.0,ns,130
vecmul,fst vecmul,0.2,,,110890726.0,ns,132
vecmul,fst vecmul,0.2,,,112740078.0,ns,134
vecmul,fst vecmul,0.2,,,114267878.0,ns,136
vecmul,fst vecmul,0.2,,,115952386.0,ns,138
vecmul,fst vecmul,0.2,,,117628137.0,ns,140
vecmul,fst vecmul,0.2,,,119314363.0,ns,142
vecmul,fst vecmul,0.2,,,121082026.0,ns,144
vecmul,fst vecmul,0.2,,,122668607.0,ns,146
vecmul,fst vecmul,0.2,,,124350562.0,ns,148
vecmul,fst vecmul,0.2,,,126031095.0,ns,150
vecmul,fst vecmul,0.2,,,127687601.0,ns,152
vecmul,fst vecmul,0.2,,,129398976.0,ns,154
vecmul,fst vecmul,0.2,,,131050188.0,ns,156
vecmul,fst vecmul,0.2,,,132747846.0,ns,158
vecmul,fst vecmul,0.2,,,134507343.0,ns,160
vecmul,fst vecmul,0.2,,,136093036.0,ns,162
vecmul,fst vecmul,0.2,,,137796355.0,ns,164
vecmul,fst vecmul,0.2,,,139589782.0,ns,166
vecmul,fst vecmul,0.2,,,141148662.0,ns,168
vecmul,fst vecmul,0.2,,,142819846.0,ns,170
vecmul,fst vecmul,0.2,,,144511050.0,ns,172
vecmul,fst vecmul,0.2,,,146271037.0,ns,174
vecmul,fst vecmul,0.2,,,147864329.0,ns,176
vecmul,fst vecmul,0.2,,,152769442.0,ns,178
vecmul,fst vecmul,0.2,,,151288538.0,ns,180
vecmul,fst vecmul,0.2,,,152957296.0,ns,182
vecmul,fst vecmul,0.2,,,154579811.0,ns,184
vecmul,fst vecmul,0.2,,,156373944.0,ns,186
vecmul,fst vecmul,0.2,,,157936903.0,ns,188
vecmul,fst vecmul,0.2,,,159630240.0,ns,190
vecmul,fst vecmul,0.2,,,161424448.0,ns,192
vecmul,fst vecmul,0.2,,,162989794.0,ns,194
vecmul,fst vecmul,0.2,,,164664360.0,ns,196
vecmul,fst vecmul,0.2,,,166377419.0,ns,198
vecmul,fst vecmul,0.2,,,168109713.0,ns,200
