group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst,0.08,,,1166223.0,ns,3
vecmul,fst,0.08,,,2327253.0,ns,6
vecmul,fst,0.08,,,3503626.0,ns,9
vecmul,fst,0.08,,,4669815.0,ns,12
vecmul,fst,0.08,,,5811934.0,ns,15
vecmul,fst,0.08,,,6979687.0,ns,18
vecmul,fst,0.08,,,8139141.0,ns,21
vecmul,fst,0.08,,,9301568.0,ns,24
vecmul,fst,0.08,,,10466143.0,ns,27
vecmul,fst,0.08,,,11627874.0,ns,30
vecmul,fst,0.08,,,12788554.0,ns,33
vecmul,fst,0.08,,,13953535.0,ns,36
vecmul,fst,0.08,,,15117798.0,ns,39
vecmul,fst,0.08,,,16294382.0,ns,42
vecmul,fst,0.08,,,17441013.0,ns,45
vecmul,fst,0.08,,,18603807.0,ns,48
vecmul,fst,0.08,,,19763440.0,ns,51
vecmul,fst,0.08,,,20933635.0,ns,54
vecmul,fst,0.08,,,22089222.0,ns,57
vecmul,fst,0.08,,,23267227.0,ns,60
vecmul,fst,0.08,,,24504203.0,ns,63
vecmul,fst,0.08,,,25623845.0,ns,66
vecmul,fst,0.08,,,26745874.0,ns,69
vecmul,fst,0.08,,,27907140.0,ns,72
vecmul,fst,0.08,,,29073663.0,ns,75
vecmul,fst,0.08,,,30253266.0,ns,78
vecmul,fst,0.08,,,31418045.0,ns,81
vecmul,fst,0.08,,,32571106.0,ns,84
vecmul,fst,0.08,,,33726602.0,ns,87
vecmul,fst,0.08,,,34907249.0,ns,90
vecmul,fst,0.08,,,36047296.0,ns,93
vecmul,fst,0.08,,,37386988.0,ns,96
vecmul,fst,0.08,,,38368076.0,ns,99
vecmul,fst,0.08,,,39534492.0,ns,102
vecmul,fst,0.08,,,40695391.0,ns,105
vecmul,fst,0.08,,,41861440.0,ns,108
vecmul,fst,0.08,,,43016754.0,ns,111
vecmul,fst,0.08,,,44188032.0,ns,114
vecmul,fst,0.08,,,45345540.0,ns,117
vecmul,fst,0.08,,,46535626.0,ns,120
vecmul,fst,0.08,,,47675022.0,ns,123
vecmul,fst,0.08,,,48834089.0,ns,126
vecmul,fst,0.08,,,49994182.0,ns,129
vecmul,fst,0.08,,,51165124.0,ns,132
vecmul,fst,0.08,,,52339879.0,ns,135
vecmul,fst,0.08,,,53509562.0,ns,138
vecmul,fst,0.08,,,54750248.0,ns,141
vecmul,fst,0.08,,,55812785.0,ns,144
vecmul,fst,0.08,,,56973972.0,ns,147
vecmul,fst,0.08,,,58170053.0,ns,150
vecmul,fst,0.08,,,59319847.0,ns,153
vecmul,fst,0.08,,,60510982.0,ns,156
vecmul,fst,0.08,,,61628627.0,ns,159
vecmul,fst,0.08,,,62790666.0,ns,162
vecmul,fst,0.08,,,63952649.0,ns,165
vecmul,fst,0.08,,,65126173.0,ns,168
vecmul,fst,0.08,,,66304472.0,ns,171
vecmul,fst,0.08,,,67446153.0,ns,174
vecmul,fst,0.08,,,68627411.0,ns,177
vecmul,fst,0.08,,,69781130.0,ns,180
vecmul,fst,0.08,,,70950651.0,ns,183
vecmul,fst,0.08,,,72178532.0,ns,186
vecmul,fst,0.08,,,73265328.0,ns,189
vecmul,fst,0.08,,,74421813.0,ns,192
vecmul,fst,0.08,,,75619644.0,ns,195
vecmul,fst,0.08,,,76842733.0,ns,198
vecmul,fst,0.08,,,78047326.0,ns,201
vecmul,fst,0.08,,,79155869.0,ns,204
vecmul,fst,0.08,,,80236949.0,ns,207
vecmul,fst,0.08,,,81423775.0,ns,210
vecmul,fst,0.08,,,82552242.0,ns,213
vecmul,fst,0.08,,,83722139.0,ns,216
vecmul,fst,0.08,,,84880774.0,ns,219
vecmul,fst,0.08,,,86068245.0,ns,222
vecmul,fst,0.08,,,87290932.0,ns,225
vecmul,fst,0.08,,,88387779.0,ns,228
vecmul,fst,0.08,,,89624125.0,ns,231
vecmul,fst,0.08,,,90714450.0,ns,234
vecmul,fst,0.08,,,91883198.0,ns,237
vecmul,fst,0.08,,,96207484.0,ns,240
vecmul,fst,0.08,,,94258560.0,ns,243
vecmul,fst,0.08,,,95344413.0,ns,246
vecmul,fst,0.08,,,96508624.0,ns,249
vecmul,fst,0.08,,,97705349.0,ns,252
vecmul,fst,0.08,,,98946579.0,ns,255
vecmul,fst,0.08,,,100104173.0,ns,258
vecmul,fst,0.08,,,101210585.0,ns,261
vecmul,fst,0.08,,,102339460.0,ns,264
vecmul,fst,0.08,,,103637906.0,ns,267
vecmul,fst,0.08,,,104717276.0,ns,270
vecmul,fst,0.08,,,105825455.0,ns,273
vecmul,fst,0.08,,,106972937.0,ns,276
vecmul,fst,0.08,,,108163457.0,ns,279
vecmul,fst,0.08,,,109371985.0,ns,282
vecmul,fst,0.08,,,110535422.0,ns,285
vecmul,fst,0.08,,,111677670.0,ns,288
vecmul,fst,0.08,,,112814089.0,ns,291
vecmul,fst,0.08,,,113962780.0,ns,294
vecmul,fst,0.08,,,115149685.0,ns,297
vecmul,fst,0.08,,,116276093.0,ns,300
