group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst,0.2,,,1691270.0,ns,2
vecmul,fst,0.2,,,3358740.0,ns,4
vecmul,fst,0.2,,,5031554.0,ns,6
vecmul,fst,0.2,,,6706903.0,ns,8
vecmul,fst,0.2,,,8381753.0,ns,10
vecmul,fst,0.2,,,10060078.0,ns,12
vecmul,fst,0.2,,,11736128.0,ns,14
vecmul,fst,0.2,,,13444025.0,ns,16
vecmul,fst,0.2,,,15089204.0,ns,18
vecmul,fst,0.2,,,16764633.0,ns,20
vecmul,fst,0.2,,,18441813.0,ns,22
vecmul,fst,0.2,,,20121341.0,ns,24
vecmul,fst,0.2,,,21795234.0,ns,26
vecmul,fst,0.2,,,23470030.0,ns,28
vecmul,fst,0.2,,,25197922.0,ns,30
vecmul,fst,0.2,,,26827696.0,ns,32
vecmul,fst,0.2,,,28523637.0,ns,34
vecmul,fst,0.2,,,30186922.0,ns,36
vecmul,fst,0.2,,,31859902.0,ns,38
vecmul,fst,0.2,,,33540310.0,ns,40
vecmul,fst,0.2,,,35235279.0,ns,42
vecmul,fst,0.2,,,36885921.0,ns,44
vecmul,fst,0.2,,,38619777.0,ns,46
vecmul,fst,0.2,,,40239966.0,ns,48
vecmul,fst,0.2,,,41918802.0,ns,50
vecmul,fst,0.2,,,43587987.0,ns,52
vecmul,fst,0.2,,,45264162.0,ns,54
vecmul,fst,0.2,,,46944214.0,ns,56
vecmul,fst,0.2,,,48648423.0,ns,58
vecmul,fst,0.2,,,50300969.0,ns,60
vecmul,fst,0.2,,,51977399.0,ns,62
vecmul,fst,0.2,,,53653923.0,ns,64
vecmul,fst,0.2,,,55400806.0,ns,66
vecmul,fst,0.2,,,57026527.0,ns,68
vecmul,fst,0.2,,,58713492.0,ns,70
vecmul,fst,0.2,,,60363259.0,ns,72
vecmul,fst,0.2,,,62045121.0,ns,74
vecmul,fst,0.2,,,63753962.0,ns,76
vecmul,fst,0.2,,,65511861.0,ns,78
vecmul,fst,0.2,,,67085500.0,ns,80
vecmul,fst,0.2,,,68761988.0,ns,82
vecmul,fst,0.2,,,70424830.0,ns,84
vecmul,fst,0.2,,,72096315.0,ns,86
vecmul,fst,0.2,,,73800691.0,ns,88
vecmul,fst,0.2,,,75451256.0,ns,90
vecmul,fst,0.2,,,77118355.0,ns,92
vecmul,fst,0.2,,,78800737.0,ns,94
vecmul,fst,0.2,,,80596735.0,ns,96
vecmul,fst,0.2,,,82180548.0,ns,98
vecmul,fst,0.2,,,83835933.0,ns,100
vecmul,fst,0.2,,,85506129.0,ns,102
vecmul,fst,0.2,,,87234257.0,ns,104
vecmul,fst,0.2,,,88859722.0,ns,106
vecmul,fst,0.2,,,90532080.0,ns,108
vecmul,fst,0.2,,,92209617.0,ns,110
vecmul,fst,0.2,,,93910956.0,ns,112
vecmul,fst,0.2,,,95566026.0,ns,114
vecmul,fst,0.2,,,97241730.0,ns,116
vecmul,fst,0.2,,,99016354.0,ns,118
vecmul,fst,0.2,,,100603327.0,ns,120
vecmul,fst,0.2,,,102271514.0,ns,122
vecmul,fst,0.2,,,104147726.0,ns,124
vecmul,fst,0.2,,,105641389.0,ns,126
vecmul,fst,0.2,,,107309737.0,ns,128
vecmul,fst,0.2,,,109006367.0,ns,130
vecmul,fst,0.2,,,110647567.0,ns,132
vecmul,fst,0.2,,,112324843.0,ns,134
vecmul,fst,0.2,,,114121396.0,ns,136
vecmul,fst,0.2,,,115720161.0,ns,138
vecmul,fst,0.2,,,117355774.0,ns,140
vecmul,fst,0.2,,,119132922.0,ns,142
vecmul,fst,0.2,,,120718762.0,ns,144
vecmul,fst,0.2,,,122439618.0,ns,146
vecmul,fst,0.2,,,127332243.0,ns,148
vecmul,fst,0.2,,,125737250.0,ns,150
vecmul,fst,0.2,,,127460695.0,ns,152
vecmul,fst,0.2,,,129176837.0,ns,154
vecmul,fst,0.2,,,130799750.0,ns,156
vecmul,fst,0.2,,,132609008.0,ns,158
vecmul,fst,0.2,,,134140495.0,ns,160
vecmul,fst,0.2,,,135825646.0,ns,162
vecmul,fst,0.2,,,137479462.0,ns,164
vecmul,fst,0.2,,,139177241.0,ns,166
vecmul,fst,0.2,,,140927715.0,ns,168
vecmul,fst,0.2,,,142556414.0,ns,170
vecmul,fst,0.2,,,144213302.0,ns,172
vecmul,fst,0.2,,,145873774.0,ns,174
vecmul,fst,0.2,,,147565886.0,ns,176
vecmul,fst,0.2,,,149246150.0,ns,178
vecmul,fst,0.2,,,150932389.0,ns,180
vecmul,fst,0.2,,,152635158.0,ns,182
vecmul,fst,0.2,,,154295625.0,ns,184
vecmul,fst,0.2,,,156083322.0,ns,186
vecmul,fst,0.2,,,157620445.0,ns,188
vecmul,fst,0.2,,,159270084.0,ns,190
vecmul,fst,0.2,,,160979932.0,ns,192
vecmul,fst,0.2,,,162697593.0,ns,194
vecmul,fst,0.2,,,164364420.0,ns,196
vecmul,fst,0.2,,,166071941.0,ns,198
vecmul,fst,0.2,,,167682169.0,ns,200
