0.9,65507553,65508078,65522517,65517478,65519173,65525096,65523737,65512086,65512693,65504622,65511053,65511351,65514798,65517382,65512677,65513902,65509573,65510081,65517774,65512247,65521708,65522674,65513731,65518335,65511180,65517913,65508032,65516707,65522827,65517972
0.5,39963462,39981057,39972403,39959346,39959352,39955791,39967584,39985087,39973183,39965571,39975732,39958292,39978486,39972685,39968981,39963278,39965204,39972649,39986238,39971695,39971477,39972429,39943287,39973072,39959166,39961191,39963535,39970386,39963188,39962810
0.4,33123074,33126874,33122342,33116715,33125609,33130327,33130516,33124984,33132302,33132892,33129001,33122438,33130297,33117437,33126115,33105875,33121834,33114134,33125480,33119672,33117481,33125495,33121772,33104307,33127867,33128821,33108000,33122792,33122901,33126758
0.3,26065625,26073997,26078133,26067404,26080619,26057659,26078966,26068296,26061529,26069278,26078444,26075100,26060147,26069661,26070155,26066912,26062987,26074635,26071513,26060029,26075086,26089154,26062891,26066856,26075621,26067501,26065978,26066235,26073981,26065576
0.2,19031295,19047792,19035964,19031652,19050596,19031084,19052355,19051178,19046715,19034223,19034483,19031566,19041708,19051230,19041737,19036375,19032752,19042155,19044875,19046982,19032201,19041020,19041735,19037954,19046611,19036629,19048913,19044073,19032608,19048798
0.1,11763830,11767641,11761221,11770705,11776353,11771200,11767267,11765123,11767102,11775939,11769441,11758616,11777429,11769812,11772860,11773354,11773721,11760327,11776176,11773928,11764416,11764038,11761856,11777668,11780426,11775690,11782227,11766376,11763336,11766153
0.09,10916375,10917081,10910755,10907545,10901653,10900349,10911560,10905290,10916079,10909943,10913606,10893278,10894190,10910120,10925303,10913028,10911335,10913766,10912322,10923138,10910193,10902234,10898047,10910301,10913574,10907579,10905837,10905628,10907818,10918800
0.08,10007452,10012520,10010146,10001860,9999694,10007739,10006084,10008117,10017156,10007706,10000264,10004500,10018553,10009171,10006307,10005797,10008732,10018990,10001502,10011988,10004036,10010152,10007934,10008642,10026584,10006635,10001040,10017361,10006096,10009210
0.07,9051019,9045977,9041170,9051696,9049793,9047166,9046987,9046783,9051743,9039276,9053554,9046329,9042161,9045876,9043532,9051037,9059956,9036929,9041013,9055612,9041556,9039967,9045388,9050929,9044715,9056531,9049773,9056840,9042589,9053123
0.06,8003171,7996407,7995568,7992300,7998304,7987592,8002569,7999010,8003241,8005472,8007541,7998195,7995088,7990323,7995684,8006700,7994230,7998053,7988576,7995429,7989315,8011486,8008708,7999640,8010037,8007542,7997776,7999916,8003699,8004155
0.05,6935870,6927462,6940332,6941408,6943757,6936708,6940431,6936368,6934160,6933009,6935887,6935492,6926652,6932976,6941950,6951605,6938731,6946546,6937678,6938434,6931717,6929880,6933868,6921694,6932590,6937595,6932845,6934412,6930914,6932430
0.04,5802477,5791905,5792145,5801414,5793620,5802518,5793144,5803104,5802357,5790217,5800525,5793613,5799349,5794766,5804459,5802268,5795725,5795896,5797895,5801332,5798348,5797263,5791433,5802631,5798621,5796591,5794412,5794024,5803544,5813693
0.03,4562306,4575752,4562525,4574853,4569691,4571942,4577133,4569411,4578046,4566602,4562151,4565258,4565956,4564609,4560426,4573822,4569696,4566255,4575180,4575014,4581239,4567165,4565749,4580107,4558141,4570486,4564627,4573605,4580105,4569365
0.02,3272055,3271834,3283563,3272283,3278075,3278135,3269712,3262928,3274042,3269217,3271753,3278022,3271279,3276105,3272238,3281269,3271355,3280382,3270177,3278165,3276360,3276361,3274669,3272109,3278718,3276266,3275933,3273587,3274009,3280476
0.015,2598948,2592612,2586857,2590298,2591160,2592525,2601478,2592067,2598553,2597549,2587563,2596871,2588522,2594284,2592215,2601115,2591970,2599249,2589575,2591054,2585278,2590049,2593911,2598995,2596538,2591924,2600712,2598601,2586600,2596265
0.01,1834290,1830545,1829188,1828633,1827284,1831375,1832377,1828673,1829937,1833837,1835059,1828505,1835022,1831656,1826415,1825989,1829917,1838604,1837540,1828716,1828646,1835389,1831249,1830518,1828728,1830936,1834065,1824259,1833619,1829219
0.005,952576,953866,950117,951893,955636,953211,952217,950761,950569,955077,956503,950701,951378,956862,958665,957396,958033,953248,952519,950677,952500,954392,955721,950357,952333,953182,955934,954271,953878,955927
0.0025,476615,477414,482108,478077,478381,479236,477922,481114,480557,481817,478137,480671,475723,472164,477148,481702,479737,478154,474276,481409,479940,477294,476822,479054,480686,476838,475864,480634,477948,477868
0.001,193046,193345,193246,192945,194709,191869,191532,190824,194831,193308,191956,192892,194525,195160,193220,192195,191907,194964,192239,190526,193715,194373,195413,190447,194614,194723,191195,193737,195203,193424
